orbit	ock	ick	et	pos[0]	pos[1]	pos[2]	blat	blon	blon0	ascending
5555	5555	-50	1543823.878951	3359.196635	1709.472600	334.834236	5.085548	26.993342	0.666099	1
5555	5555	-49	1543825.878951	3360.069901	1708.931126	328.135443	4.983919	26.979839	0.652596	0
5555	5555	-48	1543827.878951	3360.932429	1708.384027	321.435606	4.882287	26.966337	0.639094	0
5555	5555	-47	1543829.878951	3361.784216	1707.831306	314.734745	4.780643	26.953119	0.625875	0
5555	5555	-46	1543831.878951	3362.625256	1707.272968	308.032881	4.678996	26.939901	0.612658	0
5555	5555	-45	1543833.878951	3363.455545	1706.709017	301.330037	4.577346	26.926685	0.599442	0
5555	5555	-44	1543835.878951	3364.275077	1706.139459	294.626233	4.475692	26.913470	0.586227	0
5555	5555	-43	1543837.878951	3365.083848	1705.564297	287.921491	4.374043	26.899975	0.572732	0
5555	5555	-42	1543839.878951	3365.881854	1704.983536	281.215832	4.272389	26.886482	0.559239	0
5555	5555	-41	1543841.878951	3366.669090	1704.397182	274.509277	4.170871	26.873266	0.546023	0
5555	5555	-40	1543843.878951	3367.445552	1703.805238	267.801848	4.069348	26.860052	0.532809	0
5555	5555	-39	1543845.878951	3368.211234	1703.207709	261.093566	3.967688	26.846707	0.519464	0
5555	5555	-38	1543847.878951	3368.966132	1702.604600	254.384452	3.866024	26.833364	0.506121	0
5555	5555	-37	1543849.878951	3369.710242	1701.995915	247.674528	3.764196	26.820016	0.492773	0
5555	5555	-36	1543851.878951	3370.443559	1701.381660	240.963814	3.662365	26.806670	0.479427	0
5555	5555	-35	1543853.878951	3371.166080	1700.761840	234.252333	3.560815	26.793478	0.466235	0
5555	5555	-34	1543855.878951	3371.877799	1700.136457	227.540106	3.459261	26.780286	0.453043	0
5555	5555	-33	1543857.878951	3372.578712	1699.505519	220.827153	3.357575	26.766803	0.439559	0
5555	5555	-32	1543859.878951	3373.268815	1698.869029	214.113497	3.255886	26.753321	0.426078	0
5555	5555	-31	1543861.878951	3373.948105	1698.226992	207.399159	3.154322	26.740132	0.412889	0
5555	5555	-30	1543863.878951	3374.616575	1697.579413	200.684159	3.052754	26.726944	0.399701	0
5555	5555	-29	1543865.878951	3375.274223	1696.926297	193.968521	2.950914	26.713613	0.386370	0
5555	5555	-28	1543867.878951	3375.921044	1696.267649	187.252264	2.849071	26.700282	0.373039	0
5555	5555	-27	1543869.878951	3376.557035	1695.603474	180.535410	2.747345	26.686957	0.359714	0
5555	5555	-26	1543871.878951	3377.182190	1694.933776	173.817981	2.645615	26.673633	0.346390	0
5555	5555	-25	1543873.878951	3377.796507	1694.258561	167.099997	2.543899	26.660317	0.333074	0
5555	5555	-24	1543875.878951	3378.399980	1693.577833	160.381481	2.442179	26.647001	0.319758	0
5555	5555	-23	1543877.878951	3378.992606	1692.891598	153.662454	2.340599	26.633681	0.306438	0
5555	5555	-22	1543879.878951	3379.574382	1692.199860	146.942937	2.239015	26.620361	0.293118	0
5555	5555	-21	1543881.878951	3380.145302	1691.502624	140.222952	2.137269	26.607041	0.279797	0
5555	5555	-20	1543883.878951	3380.705364	1690.799896	133.502519	2.035518	26.593721	0.266478	0
5555	5555	-19	1543885.878951	3381.254564	1690.091681	126.781661	1.933644	26.580395	0.253152	0
5555	5555	-18	1543887.878951	3381.792897	1689.377983	120.060398	1.831766	26.567070	0.239827	0
5555	5555	-17	1543889.878951	3382.320360	1688.658808	113.338753	1.730010	26.553894	0.226651	0
5555	5555	-16	1543891.878951	3382.836950	1687.934161	106.616746	1.628250	26.540718	0.213475	0
5555	5555	-15	1543893.878951	3383.342662	1687.204046	99.894400	1.526495	26.527264	0.200020	0
5555	5555	-14	1543895.878951	3383.837493	1686.468470	93.171735	1.424736	26.513810	0.186567	0
5555	5555	-13	1543897.878951	3384.321439	1685.727436	86.448772	1.322978	26.500497	0.173254	0
5555	5555	-12	1543899.878951	3384.794498	1684.980951	79.725534	1.221217	26.487185	0.159942	0
5555	5555	-11	1543901.878951	3385.256664	1684.229020	73.002042	1.119586	26.473744	0.146501	0
5555	5555	-10	1543903.878951	3385.707935	1683.471647	66.278317	1.017951	26.460303	0.133060	0
5555	5555	-9	1543905.878951	3386.148307	1682.708839	59.554380	0.916167	26.447130	0.119887	0
5555	5555	-8	1543907.878951	3386.577778	1681.940599	52.830253	0.814379	26.433956	0.106713	0
5555	5555	-7	1543909.878951	3386.996342	1681.166935	46.105958	0.712459	26.420649	0.093406	0
5555	5555	-6	1543911.878951	3387.403998	1680.387850	39.381516	0.610536	26.407341	0.080098	0
5555	5555	-5	1543913.878951	3387.800742	1679.603350	32.656948	0.508885	26.393901	0.066658	0
5555	5555	-4	1543915.878951	3388.186570	1678.813440	25.932276	0.407229	26.380461	0.053218	0
5555	5555	-3	1543917.878951	3388.561479	1678.018127	19.207522	0.305283	26.367293	0.040049	0
5555	5555	-2	1543919.878951	3388.925467	1677.217414	12.482706	0.203335	26.354123	0.026880	0
5555	5555	-1	1543921.878951	3389.278529	1676.411309	5.757850	0.101669	26.340683	0.013440	0
5555	5555	0	1543923.878951	3389.620663	1675.599815	-0.967024	-0.000000	26.327243	0.000000	0
5555	5555	1	1543925.878951	3389.951866	1674.782938	-7.691895	-0.101668	26.313942	-0.013301	0
5555	5555	2	1543927.878951	3390.272134	1673.960684	-14.416742	-0.203340	26.300641	-0.026602	0
5555	5555	3	1543929.878951	3390.581465	1673.133059	-21.141542	-0.305299	26.287192	-0.040051	0
5555	5555	4	1543931.878951	3390.879856	1672.300067	-27.866275	-0.407261	26.273744	-0.053499	0
5555	5555	5	1543933.878951	3391.167303	1671.461714	-34.590919	-0.509095	26.260586	-0.066657	0
5555	5555	6	1543935.878951	3391.443804	1670.618006	-41.315452	-0.610932	26.247427	-0.079816	0
5555	5555	7	1543937.878951	3391.709356	1669.768949	-48.039854	-0.712764	26.233990	-0.093253	0
5555	5555	8	1543939.878951	3391.963956	1668.914547	-54.764102	-0.814600	26.220553	-0.106690	0
5555	5555	9	1543941.878951	3392.207601	1668.054807	-61.488175	-0.916435	26.207254	-0.119989	0
5555	5555	10	1543943.878951	3392.440288	1667.189733	-68.212052	-1.018273	26.193953	-0.133290	0
5555	5555	11	1543945.878951	3392.662015	1666.319332	-74.935711	-1.120132	26.180655	-0.146588	0
5555	5555	12	1543947.878951	3392.872779	1665.443609	-81.659131	-1.221994	26.167357	-0.159886	0
5555	5555	13	1543949.878951	3393.072578	1664.562570	-88.382290	-1.323701	26.154068	-0.173176	0
5555	5555	14	1543951.878951	3393.261408	1663.676221	-95.105167	-1.425412	26.140778	-0.186465	0
5555	5555	15	1543953.878951	3393.439267	1662.784567	-101.827740	-1.527268	26.127474	-0.199769	0
5555	5555	16	1543955.878951	3393.606153	1661.887613	-108.549987	-1.629126	26.114170	-0.213073	0
5555	5555	17	1543957.878951	3393.762063	1660.985366	-115.271888	-1.730993	26.100727	-0.226516	0
5555	5555	18	1543959.878951	3393.906995	1660.077831	-121.993421	-1.832864	26.087285	-0.239958	0
5555	5555	19	1543961.878951	3394.040946	1659.165015	-128.714564	-1.934746	26.074120	-0.253124	0
5555	5555	20	1543963.878951	3394.163914	1658.246922	-135.435296	-2.036631	26.060953	-0.266290	0
5555	5555	21	1543965.878951	3394.275896	1657.323558	-142.155595	-2.138370	26.047521	-0.279723	0
5555	5555	22	1543967.878951	3394.376890	1656.394930	-148.875440	-2.240113	26.034088	-0.293155	0
5555	5555	23	1543969.878951	3394.466894	1655.461043	-155.594810	-2.341855	26.020790	-0.306453	0
5555	5555	24	1543971.878951	3394.545906	1654.521903	-162.313682	-2.443601	26.007491	-0.319752	0
5555	5555	25	1543973.878951	3394.613923	1653.577516	-169.032035	-2.545632	25.994047	-0.333196	0
5555	5555	26	1543975.878951	3394.670943	1652.627888	-175.749849	-2.647667	25.980602	-0.346641	0
5555	5555	27	1543977.878951	3394.716964	1651.673024	-182.467101	-2.749713	25.967435	-0.359809	0
5555	5555	28	1543979.878951	3394.751984	1650.712931	-189.183770	-2.851762	25.954265	-0.372978	0
5555	5555	29	1543981.878951	3394.776001	1649.747614	-195.899834	-2.953660	25.940966	-0.386277	0
5555	5555	30	1543983.878951	3394.789013	1648.777080	-202.615272	-3.055561	25.927665	-0.399579	0
5555	5555	31	1543985.878951	3394.791017	1647.801334	-209.330062	-3.157470	25.914227	-0.413016	0
5555	5555	32	1543987.878951	3394.782013	1646.820382	-216.044184	-3.259382	25.900789	-0.426455	0
5555	5555	33	1543989.878951	3394.761997	1645.834231	-222.757614	-3.361163	25.887344	-0.439899	0
5555	5555	34	1543991.878951	3394.730969	1644.842886	-229.470333	-3.462948	25.873899	-0.453344	0
5555	5555	35	1543993.878951	3394.688926	1643.846353	-236.182319	-3.564865	25.860591	-0.466652	0
5555	5555	36	1543995.878951	3394.635866	1642.844639	-242.893549	-3.666787	25.847283	-0.479961	0
5555	5555	37	1543997.878951	3394.571788	1641.837749	-249.604003	-3.768729	25.833981	-0.493262	0
5555	5555	38	1543999.878951	3394.496690	1640.825690	-256.313658	-3.870675	25.820679	-0.506564	0
5555	5555	39	1544001.878951	3394.410570	1639.808467	-263.022495	-3.972606	25.807366	-0.519878	0
5555	5555	40	1544003.878951	3394.313427	1638.786087	-269.730490	-4.074541	25.794051	-0.533193	0
5555	5555	41	1544005.878951	3394.205258	1637.758556	-276.437623	-4.176484	25.780600	-0.546643	0
5555	5555	42	1544007.878951	3394.086064	1636.725880	-283.143872	-4.278430	25.767148	-0.560095	0
5555	5555	43	1544009.878951	3393.955841	1635.688065	-289.849215	-4.380236	25.753708	-0.573535	0
5555	5555	44	1544011.878951	3393.814588	1634.645118	-296.553632	-4.482045	25.740267	-0.586976	0
5555	5555	45	1544013.878951	3393.662304	1633.597044	-303.257100	-4.583997	25.726944	-0.600299	0
5555	5555	46	1544015.878951	3393.498988	1632.543850	-309.959598	-4.685953	25.713619	-0.613624	0
5555	5555	47	1544017.878951	3393.324638	1631.485543	-316.661105	-4.788058	25.700442	-0.626801	0
5555	5555	48	1544019.878951	3393.139252	1630.422127	-323.361599	-4.890165	25.687263	-0.639980	0
5555	5555	49	1544021.878951	3392.942830	1629.353610	-330.061059	-4.991992	25.673813	-0.653430	0
5555	5555	50	1544023.878951	3392.735370	1628.279998	-336.759463	-5.093822	25.660361	-0.666882	0
5555	5555	51	1544025.878951	3392.516871	1627.201297	-343.456790	-5.195926	25.647032	-0.680211	0
5555	5555	52	1544027.878951	3392.287331	1626.117514	-350.153018	-5.298034	25.633701	-0.693543	0
5555	5555	53	1544029.878951	3392.046750	1625.028655	-356.848126	-5.399874	25.620243	-0.707000	0
5555	5555	54	1544031.878951	3391.795127	1623.934725	-363.542092	-5.501717	25.606784	-0.720459	0
5555	5555	55	1544033.878951	3391.532459	1622.835733	-370.234895	-5.603695	25.593328	-0.733915	0
5555	5555	56	1544035.878951	3391.258747	1621.731683	-376.926514	-5.705676	25.579870	-0.747373	0
5555	5555	57	1544037.878951	3390.973989	1620.622583	-383.616926	-5.807525	25.566537	-0.760706	0
5555	5555	58	1544039.878951	3390.678184	1619.508438	-390.306111	-5.909378	25.553202	-0.774041	0
5555	5555	59	1544041.878951	3390.371331	1618.389256	-396.994047	-6.011487	25.539973	-0.787270	0
5555	5555	60	1544043.878951	3390.053430	1617.265042	-403.680713	-6.113599	25.526740	-0.800503	0
5555	5555	61	1544045.878951	3389.724479	1616.135804	-410.366087	-6.215561	25.513241	-0.814002	0
5555	5555	62	1544047.878951	3389.384478	1615.001547	-417.050147	-6.317526	25.499738	-0.827505	0
5555	5555	63	1544049.878951	3389.033426	1613.862279	-423.732873	-6.419526	25.486395	-0.840848	0
5555	5555	64	1544051.878951	3388.671322	1612.718005	-430.414242	-6.521529	25.473049	-0.854195	0
5555	5555	65	1544053.878951	3388.298165	1611.568732	-437.094234	-6.623535	25.459700	-0.867543	0
5555	5555	66	1544055.878951	3387.913955	1610.414468	-443.772827	-6.725545	25.446349	-0.880894	0
5555	5555	67	1544057.878951	3387.518691	1609.255217	-450.449999	-6.827558	25.432995	-0.894248	0
5555	5555	68	1544059.878951	3387.112372	1608.090988	-457.125729	-6.929575	25.419639	-0.907604	0
5555	5555	69	1544061.878951	3386.694999	1606.921786	-463.799996	-7.031729	25.406154	-0.921089	0
5555	5555	70	1544063.878951	3386.266569	1605.747619	-470.472779	-7.133886	25.392668	-0.934575	0
5555	5555	71	1544065.878951	3385.827084	1604.568492	-477.144054	-7.235926	25.379452	-0.947791	0
5555	5555	72	1544067.878951	3385.376542	1603.384413	-483.813803	-7.337970	25.366233	-0.961011	0
5555	5555	73	1544069.878951	3384.914943	1602.195388	-490.482002	-7.440137	25.352738	-0.974505	0
5555	5555	74	1544071.878951	3384.442287	1601.001424	-497.148630	-7.542306	25.339241	-0.988002	0
5555	5555	75	1544073.878951	3383.958573	1599.802528	-503.813667	-7.644209	25.325621	-1.001622	0
5555	5555	76	1544075.878951	3383.463800	1598.598706	-510.477091	-7.746115	25.311999	-1.015244	0
5555	5555	77	1544077.878951	3382.957970	1597.389965	-517.138879	-7.848015	25.298633	-1.028610	0
5555	5555	78	1544079.878951	3382.441081	1596.176311	-523.799012	-7.949918	25.285264	-1.041979	0
5555	5555	79	1544081.878951	3381.913134	1594.957753	-530.457467	-8.051844	25.271912	-1.055332	0
5555	5555	80	1544083.878951	3381.374127	1593.734296	-537.114223	-8.153773	25.258556	-1.068687	0
5555	5555	81	1544085.878951	3380.824062	1592.505946	-543.769259	-8.255966	25.245041	-1.082202	0
5555	5555	82	1544087.878951	3380.262937	1591.272712	-550.422554	-8.358162	25.231523	-1.095720	0
5555	5555	83	1544089.878951	3379.690754	1590.034600	-557.074085	-8.460228	25.218165	-1.109078	0
5555	5555	84	1544091.878951	3379.107511	1588.791617	-563.723832	-8.562298	25.204804	-1.122439	0
5555	5555	85	1544093.878951	3378.513209	1587.543769	-570.371772	-8.664356	25.191291	-1.135952	0
5555	5555	86	1544095.878951	3377.907849	1586.291063	-577.017886	-8.766418	25.177776	-1.149467	0
5555	5555	87	1544097.878951	3377.291429	1585.033507	-583.662152	-8.868352	25.164380	-1.162863	0
5555	5555	88	1544099.878951	3376.663951	1583.771107	-590.304547	-8.970289	25.150981	-1.176262	0
5555	5555	89	1544101.878951	3376.025415	1582.503871	-596.945051	-9.072361	25.137456	-1.189787	0
5555	5555	90	1544103.878951	3375.375820	1581.231804	-603.583643	-9.174436	25.123928	-1.203315	0
5555	5555	91	1544105.878951	3374.715167	1579.954915	-610.220300	-9.276514	25.110396	-1.216847	0
5555	5555	92	1544107.878951	3374.043456	1578.673210	-616.855002	-9.378596	25.096862	-1.230381	0
5555	5555	93	1544109.878951	3373.360688	1577.386696	-623.487728	-9.480816	25.083608	-1.243636	0
